:START_ID,:END_ID,:TYPE
p143,mv75,ACTED_IN
p191,mv75,ACTED_IN
p81,mv75,ACTED_IN
p142,mv76,ACTED_IN
p27,mv76,ACTED_IN
p69,mv77,ACTED_IN
p25,mv77,ACTED_IN
p54,mv78,ACTED_IN
p97,mv78,ACTED_IN
p98,mv79,ACTED_IN
p131,mv79,ACTED_IN
p188,mv79,ACTED_IN
p114,mv80,ACTED_IN
p207,mv80,ACTED_IN
p73,mv80,ACTED_IN
p67,mv81,ACTED_IN
p92,mv81,ACTED_IN
p212,mv82,ACTED_IN
p87,mv82,ACTED_IN
p118,mv82,ACTED_IN
p171,mv83,ACTED_IN
p186,mv83,ACTED_IN
p32,mv83,ACTED_IN
p101,mv84,ACTED_IN
p135,mv84,ACTED_IN
p18,mv84,ACTED_IN
p208,mv85,ACTED_IN
p214,mv85,ACTED_IN
p141,mv86,ACTED_IN
p71,mv86,ACTED_IN
p126,mv86,ACTED_IN
p174,mv87,ACTED_IN
p95,mv88,ACTED_IN
p15,mv88,ACTED_IN
p221,mv88,ACTED_IN
p130,mv89,ACTED_IN
p84,mv89,ACTED_IN
p146,mv89,ACTED_IN
p162,mv90,ACTED_IN
p33,mv90,ACTED_IN
p148,mv91,ACTED_IN
p22,mv91,ACTED_IN
p83,mv92,ACTED_IN
p102,mv92,ACTED_IN
p45,mv92,ACTED_IN
p102,mv93,ACTED_IN
p218,mv93,ACTED_IN
p196,mv93,ACTED_IN
p193,mv94,ACTED_IN
p34,mv94,ACTED_IN
p158,mv94,ACTED_IN
p56,mv95,ACTED_IN
p74,mv95,ACTED_IN
p85,mv96,ACTED_IN
p230,mv96,ACTED_IN
p211,mv96,ACTED_IN
p33,mv97,ACTED_IN
p166,mv97,ACTED_IN
p121,mv97,ACTED_IN
p56,mv98,ACTED_IN
p7,mv98,ACTED_IN
p200,mv99,ACTED_IN
p220,mv99,ACTED_IN
p184,mv99,ACTED_IN
p55,mv100,ACTED_IN
p68,mv100,ACTED_IN
p52,mv100,ACTED_IN
